file_rel,line_count,max_line_index,parse_fail_lines,empty_text_lines,tokens_user_sum,tokens_assistant_sum,tokens_system_sum,tokens_tool_sum,tokens_other_sum,tokens_all_sum,char_user_sum,char_assistant_sum,char_system_sum,char_tool_sum,char_other_sum
c-Users-zhang-Desktop-IMMC/0488c383-d2c0-4615-8739-b05f22b8fcaa/0488c383-d2c0-4615-8739-b05f22b8fcaa.jsonl,127,126,0,0,1921,32663,0,0,0,34584,4465,81124,0,0,0
c-Users-zhang-Desktop-IMMC/0488c383-d2c0-4615-8739-b05f22b8fcaa/subagents/848b7cd7-0295-4362-8303-4a74933979df.jsonl,3,2,0,0,52,242,0,0,0,294,214,981,0,0,0
c-Users-zhang-Desktop-IMMC/5548563f-dc8c-40e9-809b-e1740b814364/5548563f-dc8c-40e9-809b-e1740b814364.jsonl,10,9,0,0,93,1468,0,0,0,1561,224,3041,0,0,0
c-Users-zhang-Desktop-IMMC/91159564-edc7-413c-994f-4fa9c0eb9e29/91159564-edc7-413c-994f-4fa9c0eb9e29.jsonl,14,13,0,0,179,3241,0,0,0,3420,491,12341,0,0,0
c-Users-zhang-Desktop-IMMC/afa12c2c-c3d7-4f53-b2ae-fb96665b4cc4/afa12c2c-c3d7-4f53-b2ae-fb96665b4cc4.jsonl,174,173,0,0,4721,38317,0,0,0,43038,13159,130524,0,0,0
c-Users-zhang-Desktop-IMMC/afa12c2c-c3d7-4f53-b2ae-fb96665b4cc4/subagents/164f1f18-b99d-475b-8efa-c6a7b4d9c968.jsonl,2,1,0,0,92,409,0,0,0,501,334,1400,0,0,0
c-Users-zhang-Desktop-cursor-OJ/d43ee892-397a-4aa9-b958-232f890474ed/d43ee892-397a-4aa9-b958-232f890474ed.jsonl,20,19,0,0,534,1486,0,0,0,2020,811,2898,0,0,0
c-Users-zhang-Desktop-cursor/22abdde8-9a4e-47a0-8ea5-b8edb57642f8/22abdde8-9a4e-47a0-8ea5-b8edb57642f8.jsonl,78,77,0,0,1017,13194,0,0,0,14211,1900,29593,0,0,0
c-Users-zhang-Desktop-cursor/d0983958-607e-44bc-bd79-d2273da3087c/d0983958-607e-44bc-bd79-d2273da3087c.jsonl,119,118,0,0,4296,17528,0,0,0,21824,15455,32697,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/1854af2a-ea3a-4706-ad58-f44498817130/1854af2a-ea3a-4706-ad58-f44498817130.jsonl,4,3,0,0,34,487,0,0,0,521,92,986,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/23059769-dd7f-4f21-a120-65e11fce7bbf/23059769-dd7f-4f21-a120-65e11fce7bbf.jsonl,139,138,0,0,58875,26949,0,0,0,85824,217564,54867,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/2d07bbd6-3dfa-419d-9200-4b714f3481bc/2d07bbd6-3dfa-419d-9200-4b714f3481bc.jsonl,23,22,0,0,188,3845,0,0,0,4033,319,5839,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/446d3ea7-7784-4a79-aef7-437bfae1a426/446d3ea7-7784-4a79-aef7-437bfae1a426.jsonl,50,49,0,0,15461,11117,0,0,0,26578,55340,19395,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/6485761f-0eb7-4b7b-a49e-4fb3a1588eda/6485761f-0eb7-4b7b-a49e-4fb3a1588eda.jsonl,8,7,0,0,100,1027,0,0,0,1127,416,3732,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/77228f0a-f50b-4437-96e5-f7b8bd673751/77228f0a-f50b-4437-96e5-f7b8bd673751.jsonl,34,33,0,0,4237,2721,0,0,0,6958,13946,4175,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/836da436-56b8-44f9-9197-5e897012f69b/836da436-56b8-44f9-9197-5e897012f69b.jsonl,31,30,0,0,5563,5008,0,0,0,10571,13619,8258,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/93c8acf8-7e73-4be0-8918-6e1a4a6a2644/93c8acf8-7e73-4be0-8918-6e1a4a6a2644.jsonl,42,41,0,0,19355,4998,0,0,0,24353,60645,9332,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/97f0f910-65b7-4481-a1c9-70de1356f0d8/97f0f910-65b7-4481-a1c9-70de1356f0d8.jsonl,53,52,0,0,13043,9264,0,0,0,22307,31137,14994,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/990fe47a-6136-4cac-b912-d581630b3c46/990fe47a-6136-4cac-b912-d581630b3c46.jsonl,35,34,0,0,4139,8645,0,0,0,12784,8417,15988,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/9fd07913-d11f-4154-82ac-42651b821255/9fd07913-d11f-4154-82ac-42651b821255.jsonl,11,10,0,0,2821,2156,0,0,0,4977,6711,6229,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/d16340dc-ae82-4870-bd26-58e7eaccb72c/d16340dc-ae82-4870-bd26-58e7eaccb72c.jsonl,53,52,0,0,675,10655,0,0,0,11330,1177,19391,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/d3bb037b-7658-41c8-a38f-52e890886ef1/d3bb037b-7658-41c8-a38f-52e890886ef1.jsonl,64,63,0,0,6037,3681,0,0,0,9718,13737,6918,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/d9d425a9-41db-4464-b703-87bd27afc66e/d9d425a9-41db-4464-b703-87bd27afc66e.jsonl,15,14,0,0,260,4634,0,0,0,4894,447,8763,0,0,0
c-Users-zhang-Desktop-github-LiveRobot-local/e5a8746d-5b09-4d5d-ae7b-4ea006fa0d98/e5a8746d-5b09-4d5d-ae7b-4ea006fa0d98.jsonl,5,4,0,0,45,695,0,0,0,740,81,1261,0,0,0
c-Users-zhang-Desktop-github-LiveRobot/5303a01f-3128-4bd9-847e-84342e972598/5303a01f-3128-4bd9-847e-84342e972598.jsonl,29,28,0,0,882,10591,0,0,0,11473,2054,27483,0,0,0
c-Users-zhang-Desktop-github-LiveRobot/f63af0cf-87e1-4384-92dd-a16ff496509c/f63af0cf-87e1-4384-92dd-a16ff496509c.jsonl,48,47,0,0,3834,5172,0,0,0,9006,12746,11807,0,0,0
